src	tgt
hnga kon hlao	H'Nga tìm đứa trẻ
ykrong rong dua krah hlao-ne-ma	Y Krông đã không tìm một cái nhà cũ
krao plei ntik tuk-ne	con trâu đã mang bản làng nhỏ
yson bnam-tao nhu	Y Sơn uống những ngọn núi
bok kata liem om-ne-ma	người thầy đã không nấu con gà đẹp
pang ako ei	cái nồi cho con chó
rong kon cha-ne	cái nhà đã ăn đứa trẻ
dak miu hlao-ne	dòng sông đã tìm con mèo
dak pang dua ngui-ne	dòng sông đã làm một cái nồi
ybhok kon om	Y Bhôk nấu đứa trẻ
dak dak hmang-ne	dòng sông đã thấy dòng sông
yson brah ngui-ma	Y Sơn không làm khu rừng
hnga mi tec-ne-ma	H'Nga đã không bán người mẹ
dak krao dua liem nhu	dòng sông uống một con trâu đẹp
hrin bok prong hlao	H'Rin tìm người thầy to
ykrong miu ngui-ma	Y Krông không làm con mèo
ybhok kata nhu	Y Bhôk uống con gà
pang kata puon gu	cái nồi bắt bốn con gà
hnga dak tec	H'Nga bán dòng sông
krao bok-tao om	con trâu nấu những người thầy
yson rong prong ei-ne-ma	Y Sơn đã không cho cái nhà to
ykrong pa-tao prong hmang	Y Krông thấy những người cha to
ykrong krao-tao liem hlao-ne	Y Krông đã tìm những con trâu đẹp
ybhok brah nhu	Y Bhôk uống khu rừng
padi miu krah cha	cây lúa ăn con mèo cũ
rong plei ngui	cái nhà làm bản làng
rong hina pei mahe tuk	cái nhà mang ba con cá mới
hina kata hmang	con cá thấy con gà
plei ako cha	bản làng ăn con chó
brah rong bar hlao	khu rừng tìm hai cái nhà
dak miu poh krah om	dòng sông nấu năm con mèo cũ
miu ako krah cha	con mèo ăn con chó cũ
ybhok pa ei	Y Bhôk cho người cha
rong krao liem ngui-ne	cái nhà đã làm con trâu đẹp
pa dak bar ngui	người cha làm hai dòng sông
pang ako ngui-ne	cái nồi đã làm con chó
hling bok pei ei-ne	H'Linh đã cho ba người thầy
bnam kon pei tuk-ne-ma	ngọn núi đã không mang ba đứa trẻ
hina kon prong gu-ne	con cá đã bắt đứa trẻ to
krao bnam-tao gu-ne	con trâu đã bắt những ngọn núi
brah kon pei krah hlao-ma	khu rừng không tìm ba đứa trẻ cũ
yson kata nhu-ma	Y Sơn không uống con gà
kata miu poh ei	con gà cho năm con mèo
dak rong bar krah tec	dòng sông bán hai cái nhà cũ
pang plei tuk-ne-ma	cái nồi đã không mang bản làng
ako rong pei ngui-ne	con chó đã làm ba cái nhà
rong pa-tao ntik tuk	cái nhà mang những người cha nhỏ
ybhok rong-tao cha	Y Bhôk ăn những cái nhà
ykrong bnam tuk-ne	Y Krông đã mang ngọn núi
brah rong-tao mahe ei	khu rừng cho những cái nhà mới
yson ako krah nhu	Y Sơn uống con chó cũ
pang kata-tao ei-ma	cái nồi không cho những con gà
brah rong-tao ei	khu rừng cho những cái nhà
bok hina-tao om-ne	người thầy đã nấu những con cá
padi kata gu	cây lúa bắt con gà
dak bok-tao hmang	dòng sông thấy những người thầy
miu krao poh tec-ma	con mèo không bán năm con trâu
ako dak krah cha-ne	con chó đã ăn dòng sông cũ
bok mi tec-ma	người thầy không bán người mẹ
pa krao cha-ne	người cha đã ăn con trâu
bnam mi hlao	ngọn núi tìm người mẹ
pa dak liem tuk-ne	người cha đã mang dòng sông đẹp
plei bnam-tao prong ei-ne	bản làng đã cho những ngọn núi to
yson kon dua tec-ma	Y Sơn không bán một đứa trẻ
bnam kon gu	ngọn núi bắt đứa trẻ
kon pang hlao-ne-ma	đứa trẻ đã không tìm cái nồi
mi plei ngui-ma	người mẹ không làm bản làng
plei bnam tuk-ne	bản làng đã mang ngọn núi
brah ako ei-ne-ma	khu rừng đã không cho con chó
plei kata-tao ngui-ne	bản làng đã làm những con gà
kon bok pei liem ngui-ne	đứa trẻ đã làm ba người thầy đẹp
krao pa dua liem ngui	con trâu làm một người cha đẹp
bok plei om-ma	người thầy không nấu bản làng
pang kon puon gu	cái nồi bắt bốn đứa trẻ
yson dak puon ngui-ne	Y Sơn đã làm bốn dòng sông
bnam kon puon nhu	ngọn núi uống bốn đứa trẻ
kon bnam-tao ngui-ne	đứa trẻ đã làm những ngọn núi
krao ako hmang-ma	con trâu không thấy con chó
bnam miu poh hmang-ne	ngọn núi đã thấy năm con mèo
krao bok ei	con trâu cho người thầy
ako bok liem ngui-ne	con chó đã làm người thầy đẹp
hrin krao mahe ngui-ma	H'Rin không làm con trâu mới
mi bok ei-ma	người mẹ không cho người thầy
rong bnam krah cha	cái nhà ăn ngọn núi cũ
hina kata bar hlao	con cá tìm hai con gà
miu krao ntik hmang-ma	con mèo không thấy con trâu nhỏ
hina bok ei	con cá cho người thầy
bnam pang dua gu	ngọn núi bắt một cái nồi
ykrong krao tuk	Y Krông mang con trâu
ako plei poh gu-ne	con chó đã bắt năm bản làng
miu ako mahe hlao	con mèo tìm con chó mới
krao bok-tao prong hlao-ne-ma	con trâu đã không tìm những người thầy to
pa mi pei krah ngui	người cha làm ba người mẹ cũ
hling plei mahe hlao	H'Linh tìm bản làng mới
krao krao-tao tuk	con trâu mang những con trâu
ybhok krao poh tec	Y Bhôk bán năm con trâu
miu bnam bar krah nhu	con mèo uống hai ngọn núi cũ
padi bok-tao gu-ne	cây lúa đã bắt những người thầy
bok krao gu-ma	người thầy không bắt con trâu
bnam pang liem cha	ngọn núi ăn cái nồi đẹp
hina pa tec-ne-ma	con cá đã không bán người cha
ykrong krao ntik om	Y Krông nấu con trâu nhỏ
bok plei krah nhu-ma	người thầy không uống bản làng cũ
miu pa krah hlao-ne	con mèo đã tìm người cha cũ
kata bok om	con gà nấu người thầy
rong bnam ngui-ne	cái nhà đã làm ngọn núi
pang brah bar nhu-ne	cái nồi đã uống hai khu rừng
hling dak ntik om	H'Linh nấu dòng sông nhỏ
mi miu nhu-ma	người mẹ không uống con mèo
ykrong plei poh ntik hlao-ne	Y Krông đã tìm năm bản làng nhỏ
bnam brah poh hlao-ne	ngọn núi đã tìm năm khu rừng
mi kon ntik tuk-ne	người mẹ đã mang đứa trẻ nhỏ
padi dak pei liem ei-ma	cây lúa không cho ba dòng sông đẹp
bok mi tuk	người thầy mang người mẹ
hina bok hlao	con cá tìm người thầy
rong bok bar krah hmang	cái nhà thấy hai người thầy cũ
ybhok mi mahe tec-ma	Y Bhôk không bán người mẹ mới
krao dak prong hmang	con trâu thấy dòng sông to
padi krao hmang-ne	cây lúa đã thấy con trâu
rong ako poh ntik ei-ne	cái nhà đã cho năm con chó nhỏ
brah padi prong ngui	khu rừng làm cây lúa to
bok ako nhu-ma	người thầy không uống con chó
rong kon-tao krah ei-ne-ma	cái nhà đã không cho những đứa trẻ cũ
brah bok tec	khu rừng bán người thầy
rong plei ntik nhu	cái nhà uống bản làng nhỏ
mi bnam cha	người mẹ ăn ngọn núi
pa brah bar tec	người cha bán hai khu rừng
rong krao nhu-ne	cái nhà đã uống con trâu
ykrong brah cha	Y Krông ăn khu rừng
padi bnam krah tuk	cây lúa mang ngọn núi cũ
hnga krao puon cha-ne	H'Nga đã ăn bốn con trâu
yson ako-tao ntik tec-ma	Y Sơn không bán những con chó nhỏ
bnam krao mahe ei-ma	ngọn núi không cho con trâu mới
ykrong mi ntik tuk	Y Krông mang người mẹ nhỏ
bnam padi-tao tuk-ne	ngọn núi đã mang những cây lúa
padi plei tec-ne	cây lúa đã bán bản làng
mi bok nhu	người mẹ uống người thầy
pang dak tuk-ne	cái nồi đã mang dòng sông
hrin hina puon ntik nhu-ne	H'Rin đã uống bốn con cá nhỏ
pa rong-tao krah ei-ne	người cha đã cho những cái nhà cũ
ako rong puon gu	con chó bắt bốn cái nhà
hling padi ei-ne	H'Linh đã cho cây lúa
pa bnam bar nhu	người cha uống hai ngọn núi
miu pang poh hmang-ne-ma	con mèo đã không thấy năm cái nồi
ykrong plei gu	Y Krông bắt bản làng
hnga bnam liem nhu-ne	H'Nga đã uống ngọn núi đẹp
pa krao ntik tuk	người cha mang con trâu nhỏ
krao miu puon ntik gu-ne-ma	con trâu đã không bắt bốn con mèo nhỏ
hnga bnam-tao krah nhu-ne	H'Nga đã uống những ngọn núi cũ
plei brah poh nhu-ne	bản làng đã uống năm khu rừng
hling pa ntik hmang	H'Linh thấy người cha nhỏ
bnam kon hlao-ne	ngọn núi đã tìm đứa trẻ
pang bnam krah hlao	cái nồi tìm ngọn núi cũ
rong hina dua krah ngui	cái nhà làm một con cá cũ
pa krao ntik gu	người cha bắt con trâu nhỏ
pang kon cha	cái nồi ăn đứa trẻ
ybhok plei ngui-ne	Y Bhôk đã làm bản làng
dak pa puon tec-ne	dòng sông đã bán bốn người cha
hnga padi om-ma	H'Nga không nấu cây lúa
hling rong hlao	H'Linh tìm cái nhà
kata miu ei-ne-ma	con gà đã không cho con mèo
ako mi ei-ne-ma	con chó đã không cho người mẹ
ykrong mi puon gu-ne	Y Krông đã bắt bốn người mẹ
ako pa dua prong gu	con chó bắt một người cha to
hrin brah liem tuk	H'Rin mang khu rừng đẹp
pang dak pei hlao-ma	cái nồi không tìm ba dòng sông
hina krao om	con cá nấu con trâu
mi kata-tao mahe nhu	người mẹ uống những con gà mới
bnam plei ngui	ngọn núi làm bản làng
ykrong hina-tao hlao	Y Krông tìm những con cá
hrin brah-tao prong nhu-ma	H'Rin không uống những khu rừng to
kon pang nhu	đứa trẻ uống cái nồi
dak hina krah hmang-ne	dòng sông đã thấy con cá cũ
hina rong bar ei	con cá cho hai cái nhà
plei bok hmang	bản làng thấy người thầy
ykrong ako-tao cha	Y Krông ăn những con chó
hina krao tec-ne-ma	con cá đã không bán con trâu
miu dak pei mahe hmang	con mèo thấy ba dòng sông mới
krao padi bar hlao-ne-ma	con trâu đã không tìm hai cây lúa
bok dak ngui-ne	người thầy đã làm dòng sông
bok brah ntik om	người thầy nấu khu rừng nhỏ
padi padi om-ne-ma	cây lúa đã không nấu cây lúa
bnam bnam mahe ei	ngọn núi cho ngọn núi mới
ybhok kata poh tec-ne	Y Bhôk đã bán năm con gà
hina plei ngui	con cá làm bản làng
hina pang krah cha-ne	con cá đã ăn cái nồi cũ
brah pang-tao ei-ma	khu rừng không cho những cái nồi
hling dak liem nhu-ne	H'Linh đã uống dòng sông đẹp
yson ako dua tec	Y Sơn bán một con chó
miu bok liem om	con mèo nấu người thầy đẹp
pa rong poh hmang-ne-ma	người cha đã không thấy năm cái nhà
hnga mi-tao mahe ei	H'Nga cho những người mẹ mới
rong ako pei om-ne	cái nhà đã nấu ba con chó
pa miu bar nhu-ne	người cha đã uống hai con mèo
hnga ako bar gu	H'Nga bắt hai con chó
dak dak liem gu	dòng sông bắt dòng sông đẹp
rong kon-tao tec	cái nhà bán những đứa trẻ
kon pang bar cha	đứa trẻ ăn hai cái nồi
ykrong krao-tao cha-ma	Y Krông không ăn những con trâu
hrin kon bar ei-ne	H'Rin đã cho hai đứa trẻ
bok ako liem om	người thầy nấu con chó đẹp
padi rong mahe tec-ne	cây lúa đã bán cái nhà mới
krao brah tuk-ma	con trâu không mang khu rừng
ybhok pa-tao ngui	Y Bhôk làm những người cha
hling ako mahe hmang-ne	H'Linh đã thấy con chó mới
ako padi om	con chó nấu cây lúa
pang miu mahe ngui-ne	cái nồi đã làm con mèo mới
dak bok liem ei	dòng sông cho người thầy đẹp
hrin mi-tao om	H'Rin nấu những người mẹ
pa pa-tao hlao	người cha tìm những người cha
ybhok plei poh hlao	Y Bhôk tìm năm bản làng
kon kon tuk-ne	đứa trẻ đã mang đứa trẻ
yson padi gu	Y Sơn bắt cây lúa
pang bok gu-ne	cái nồi đã bắt người thầy
miu pa-tao gu	con mèo bắt những người cha
pa bnam ngui	người cha làm ngọn núi
hling miu ngui	H'Linh làm con mèo
hrin krao tuk-ne	H'Rin đã mang con trâu
plei pang ngui-ne	bản làng đã làm cái nồi
dak ako-tao mahe om	dòng sông nấu những con chó mới
hina pa poh krah nhu	con cá uống năm người cha cũ
bok kon puon krah om	người thầy nấu bốn đứa trẻ cũ
pang rong-tao krah ei	cái nồi cho những cái nhà cũ
hnga padi-tao nhu-ne	H'Nga đã uống những cây lúa
bnam kon pei hmang	ngọn núi thấy ba đứa trẻ
brah brah cha	khu rừng ăn khu rừng
kon bnam ngui-ne	đứa trẻ đã làm ngọn núi
miu rong pei nhu-ne	con mèo đã uống ba cái nhà
ybhok hina-tao ntik nhu-ne	Y Bhôk đã uống những con cá nhỏ
rong ako om-ne	cái nhà đã nấu con chó
kon mi tec-ne	đứa trẻ đã bán người mẹ
hling rong prong ngui	H'Linh làm cái nhà to
dak mi bar nhu	dòng sông uống hai người mẹ
hling kata ei	H'Linh cho con gà
ybhok padi-tao hlao-ne	Y Bhôk đã tìm những cây lúa
dak kata bar ngui	dòng sông làm hai con gà
bnam rong mahe cha-ne	ngọn núi đã ăn cái nhà mới
ykrong hina ngui-ne	Y Krông đã làm con cá
ybhok miu om-ne	Y Bhôk đã nấu con mèo
yson kon prong hmang-ma	Y Sơn không thấy đứa trẻ to
hnga bok liem cha-ne	H'Nga đã ăn người thầy đẹp
ybhok mi poh hmang-ne	Y Bhôk đã thấy năm người mẹ
kon mi dua prong nhu-ma	đứa trẻ không uống một người mẹ to
dak pang poh ei-ne	dòng sông đã cho năm cái nồi
dak miu tuk	dòng sông mang con mèo
kata dak ngui	con gà làm dòng sông
krao mi puon tec-ne	con trâu đã bán bốn người mẹ
hrin miu krah gu-ma	H'Rin không bắt con mèo cũ
hrin pa pei prong cha	H'Rin ăn ba người cha to
miu dak ntik om-ne	con mèo đã nấu dòng sông nhỏ
plei pa puon gu	bản làng bắt bốn người cha
kata bok dua liem om	con gà nấu một người thầy đẹp
hrin rong krah nhu-ne-ma	H'Rin đã không uống cái nhà cũ
bok pa puon ngui	người thầy làm bốn người cha
rong dak cha	cái nhà ăn dòng sông
yson plei poh ngui-ma	Y Sơn không làm năm bản làng
ykrong brah hlao	Y Krông tìm khu rừng
yson rong gu-ma	Y Sơn không bắt cái nhà
yson ako-tao om-ne	Y Sơn đã nấu những con chó
ykrong mi dua nhu	Y Krông uống một người mẹ
pang pa gu-ne	cái nồi đã bắt người cha
hrin plei hmang-ne-ma	H'Rin đã không thấy bản làng
padi padi dua ntik ei	cây lúa cho một cây lúa nhỏ
dak kon-tao cha	dòng sông ăn những đứa trẻ
kata mi tuk	con gà mang người mẹ
miu bok ngui	con mèo làm người thầy
brah hina mahe hmang	khu rừng thấy con cá mới
ako brah mahe gu-ma	con chó không bắt khu rừng mới
ykrong brah-tao mahe cha	Y Krông ăn những khu rừng mới
pa miu dua cha-ne	người cha đã ăn một con mèo
pang kata-tao nhu	cái nồi uống những con gà
pa kata poh tec	người cha bán năm con gà
hina rong-tao tuk-ne	con cá đã mang những cái nhà
miu padi-tao prong nhu-ne	con mèo đã uống những cây lúa to
rong padi liem om-ne	cái nhà đã nấu cây lúa đẹp
ako plei ngui-ma	con chó không làm bản làng
miu pa dua prong hlao-ma	con mèo không tìm một người cha to
bok hina liem om-ne-ma	người thầy đã không nấu con cá đẹp
hrin padi pei ntik ngui-ne	H'Rin đã làm ba cây lúa nhỏ
ykrong kata-tao cha	Y Krông ăn những con gà
pang kon bar ntik cha-ne	cái nồi đã ăn hai đứa trẻ nhỏ
dak miu puon krah om-ma	dòng sông không nấu bốn con mèo cũ
hnga pa krah hmang	H'Nga thấy người cha cũ
yson ako-tao krah om-ne	Y Sơn đã nấu những con chó cũ
kata hina puon liem cha-ne	con gà đã ăn bốn con cá đẹp
ybhok dak poh nhu	Y Bhôk uống năm dòng sông
hrin ako ngui-ne	H'Rin đã làm con chó
hrin plei pei liem nhu	H'Rin uống ba bản làng đẹp
bnam dak tec-ne	ngọn núi đã bán dòng sông
bnam kata ngui	ngọn núi làm con gà
padi miu-tao ngui	cây lúa làm những con mèo
pang ako tuk	cái nồi mang con chó
ykrong pang-tao krah tuk-ne	Y Krông đã mang những cái nồi cũ
kata kata-tao prong hlao	con gà tìm những con gà to
krao hina puon tuk-ma	con trâu không mang bốn con cá
miu kata-tao ntik cha-ne	con mèo đã ăn những con gà nhỏ
kata kon ei	con gà cho đứa trẻ
hrin hina tuk	H'Rin mang con cá
hnga pa tuk	H'Nga mang người cha
pang kata-tao hlao-ne	cái nồi đã tìm những con gà
rong kon krah hlao	cái nhà tìm đứa trẻ cũ
yson miu-tao cha	Y Sơn ăn những con mèo
padi padi pei mahe om	cây lúa nấu ba cây lúa mới
bok krao-tao liem cha	người thầy ăn những con trâu đẹp
ako dak-tao krah nhu-ma	con chó không uống những dòng sông cũ
yson bnam puon cha	Y Sơn ăn bốn ngọn núi
plei pang ngui-ne-ma	bản làng đã không làm cái nồi
padi krao om-ne	cây lúa đã nấu con trâu
plei ako ei-ne	bản làng đã cho con chó
bok pa prong ngui	người thầy làm người cha to
brah pang ei	khu rừng cho cái nồi
hina pa mahe tuk-ne	con cá đã mang người cha mới
hina kon tec-ma	con cá không bán đứa trẻ
bnam rong cha	ngọn núi ăn cái nhà
ybhok dak-tao cha	Y Bhôk ăn những dòng sông
yson padi puon liem om-ne	Y Sơn đã nấu bốn cây lúa đẹp
plei pa bar hmang	bản làng thấy hai người cha
ykrong brah ngui-ne	Y Krông đã làm khu rừng
bok bnam poh mahe gu-ne-ma	người thầy đã không bắt năm ngọn núi mới
bok plei puon hlao-ne-ma	người thầy đã không tìm bốn bản làng
kon padi cha-ne-ma	đứa trẻ đã không ăn cây lúa
ykrong pang ei-ne-ma	Y Krông đã không cho cái nồi
bok hina-tao prong ngui	người thầy làm những con cá to
pang dak-tao liem ei-ne	cái nồi đã cho những dòng sông đẹp
ybhok brah-tao liem om	Y Bhôk nấu những khu rừng đẹp
rong bnam nhu	cái nhà uống ngọn núi
hnga rong-tao prong tec	H'Nga bán những cái nhà to
ybhok pa-tao liem hmang-ne	Y Bhôk đã thấy những người cha đẹp
hnga kon krah tec-ne	H'Nga đã bán đứa trẻ cũ
hrin kon ngui-ne	H'Rin đã làm đứa trẻ
ybhok bok mahe hmang	Y Bhôk thấy người thầy mới
padi bnam nhu-ne	cây lúa đã uống ngọn núi
krao mi-tao ei-ne	con trâu đã cho những người mẹ
dak krao liem hmang	dòng sông thấy con trâu đẹp
kata kon mahe om-ne	con gà đã nấu đứa trẻ mới
bok pang pei gu	người thầy bắt ba cái nồi
padi ako bar prong tuk-ne	cây lúa đã mang hai con chó to
ako kon om-ne	con chó đã nấu đứa trẻ
yson pa ntik ei-ne	Y Sơn đã cho người cha nhỏ
hina bnam bar hlao-ne-ma	con cá đã không tìm hai ngọn núi
plei kata-tao mahe gu	bản làng bắt những con gà mới
mi pa ntik ei-ne	người mẹ đã cho người cha nhỏ
hina padi-tao nhu-ma	con cá không uống những cây lúa
kon mi ntik gu	đứa trẻ bắt người mẹ nhỏ
brah rong hlao-ne-ma	khu rừng đã không tìm cái nhà
ybhok pang nhu-ne	Y Bhôk đã uống cái nồi
ako dak gu	con chó bắt dòng sông
hina krao hmang	con cá thấy con trâu
brah miu nhu	khu rừng uống con mèo
bnam pang liem nhu-ne-ma	ngọn núi đã không uống cái nồi đẹp
hling miu puon tuk-ma	H'Linh không mang bốn con mèo
yson krao dua liem cha-ne	Y Sơn đã ăn một con trâu đẹp
mi dak liem ei-ma	người mẹ không cho dòng sông đẹp
ako bnam liem om	con chó nấu ngọn núi đẹp
dak kata-tao cha-ne	dòng sông đã ăn những con gà
bok plei om	người thầy nấu bản làng
hling miu-tao ntik ei	H'Linh cho những con mèo nhỏ
hina mi bar tec	con cá bán hai người mẹ
ykrong pa-tao liem tuk	Y Krông mang những người cha đẹp
yson ako mahe nhu-ne	Y Sơn đã uống con chó mới
yson pang dua mahe hmang-ma	Y Sơn không thấy một cái nồi mới
ykrong bnam bar tuk-ma	Y Krông không mang hai ngọn núi
hling bnam ngui	H'Linh làm ngọn núi
ybhok bok nhu	Y Bhôk uống người thầy
hina miu dua liem gu	con cá bắt một con mèo đẹp
pang bnam-tao ei-ne	cái nồi đã cho những ngọn núi
kata dak puon krah ngui-ne	con gà đã làm bốn dòng sông cũ
miu kata-tao prong hmang-ma	con mèo không thấy những con gà to
pa padi bar ntik ngui-ma	người cha không làm hai cây lúa nhỏ
padi ako poh ntik ei	cây lúa cho năm con chó nhỏ
hnga pa hlao-ne	H'Nga đã tìm người cha
plei miu krah ei	bản làng cho con mèo cũ
dak padi ntik gu-ne	dòng sông đã bắt cây lúa nhỏ
pa bok poh gu	người cha bắt năm người thầy
bnam krao ngui-ma	ngọn núi không làm con trâu
pang pa ntik ngui-ne	cái nồi đã làm người cha nhỏ
hling kata-tao hlao	H'Linh tìm những con gà
pang pang-tao ei-ne-ma	cái nồi đã không cho những cái nồi
kata miu-tao cha	con gà ăn những con mèo
plei kata mahe hmang-ne	bản làng đã thấy con gà mới
miu pang-tao cha-ne	con mèo đã ăn những cái nồi
hrin bok gu	H'Rin bắt người thầy
hnga padi-tao hlao	H'Nga tìm những cây lúa
hnga mi nhu-ne	H'Nga đã uống người mẹ
ykrong dak prong gu	Y Krông bắt dòng sông to
pa kata-tao hlao	người cha tìm những con gà
hina rong pei mahe om	con cá nấu ba cái nhà mới
padi pa-tao tec	cây lúa bán những người cha
plei mi om	bản làng nấu người mẹ
hina bok om-ne-ma	con cá đã không nấu người thầy
hnga padi poh nhu-ne	H'Nga đã uống năm cây lúa
yson kata ntik ngui-ne-ma	Y Sơn đã không làm con gà nhỏ
bnam krao prong cha-ne-ma	ngọn núi đã không ăn con trâu to
pa pang-tao mahe cha-ne	người cha đã ăn những cái nồi mới
hrin krao pei liem ngui-ne	H'Rin đã làm ba con trâu đẹp
hling mi ei-ne	H'Linh đã cho người mẹ
miu pang om-ne	con mèo đã nấu cái nồi
krao mi mahe nhu-ma	con trâu không uống người mẹ mới
rong rong pei liem nhu-ne-ma	cái nhà đã không uống ba cái nhà đẹp
bnam dak-tao om	ngọn núi nấu những dòng sông
hnga ako ntik hmang-ma	H'Nga không thấy con chó nhỏ
hina pa-tao ngui-ma	con cá không làm những người cha
pang kon cha-ne	cái nồi đã ăn đứa trẻ
pa dak ei	người cha cho dòng sông
bok ako mahe hmang	người thầy thấy con chó mới
krao hina liem tuk-ne	con trâu đã mang con cá đẹp
rong pang puon tuk	cái nhà mang bốn cái nồi
bnam bnam-tao ntik nhu-ma	ngọn núi không uống những ngọn núi nhỏ
hrin hina dua krah gu	H'Rin bắt một con cá cũ
ybhok padi liem tuk	Y Bhôk mang cây lúa đẹp
ykrong pang-tao ei-ne	Y Krông đã cho những cái nồi
miu padi poh ei-ne	con mèo đã cho năm cây lúa
ybhok bok ngui-ne-ma	Y Bhôk đã không làm người thầy
hling pang gu-ne	H'Linh đã bắt cái nồi
rong hina bar nhu-ma	cái nhà không uống hai con cá
yson krao ntik om	Y Sơn nấu con trâu nhỏ
hrin pang-tao tec	H'Rin bán những cái nồi
bok bnam-tao liem hmang	người thầy thấy những ngọn núi đẹp
yson bok ngui-ne	Y Sơn đã làm người thầy
hrin brah-tao tuk	H'Rin mang những khu rừng
yson krao nhu-ne	Y Sơn đã uống con trâu
miu brah om	con mèo nấu khu rừng
ykrong miu cha-ne-ma	Y Krông đã không ăn con mèo
kata kata pei liem tuk-ne-ma	con gà đã không mang ba con gà đẹp
mi brah ei	người mẹ cho khu rừng
dak krao ntik cha-ne	dòng sông đã ăn con trâu nhỏ
hnga hina prong tuk-ma	H'Nga không mang con cá to
mi ako-tao nhu	người mẹ uống những con chó
pa bnam tec	người cha bán ngọn núi
mi bok mahe gu-ne-ma	người mẹ đã không bắt người thầy mới
ykrong pa puon krah hlao-ma	Y Krông không tìm bốn người cha cũ
hling pang ntik gu-ma	H'Linh không bắt cái nồi nhỏ
hina rong-tao krah tuk-ne-ma	con cá đã không mang những cái nhà cũ
yson mi hmang-ne	Y Sơn đã thấy người mẹ
yson hina ntik cha-ne	Y Sơn đã ăn con cá nhỏ
ybhok padi tec-ne	Y Bhôk đã bán cây lúa
pa kon puon mahe hlao-ne	người cha đã tìm bốn đứa trẻ mới
padi plei-tao krah ngui	cây lúa làm những bản làng cũ
brah kon puon om	khu rừng nấu bốn đứa trẻ
rong padi dua hmang-ne	cái nhà đã thấy một cây lúa
pa bok puon om-ne-ma	người cha đã không nấu bốn người thầy
pa mi-tao liem nhu	người cha uống những người mẹ đẹp
yson padi mahe hmang	Y Sơn thấy cây lúa mới
ykrong padi ntik ei-ma	Y Krông không cho cây lúa nhỏ
bok mi mahe om	người thầy nấu người mẹ mới
hling miu-tao ngui-ne	H'Linh đã làm những con mèo
kon brah ngui	đứa trẻ làm khu rừng
bnam pang poh tuk	ngọn núi mang năm cái nồi
hling pa bar ei	H'Linh cho hai người cha
yson brah pei nhu	Y Sơn uống ba khu rừng
kata hina-tao hmang	con gà thấy những con cá
hnga plei dua om	H'Nga nấu một bản làng
miu kata krah om	con mèo nấu con gà cũ
krao kata pei hmang-ne-ma	con trâu đã không thấy ba con gà
yson kon tec-ne-ma	Y Sơn đã không bán đứa trẻ
ako plei cha-ne	con chó đã ăn bản làng
miu padi liem om-ne	con mèo đã nấu cây lúa đẹp
kon bnam prong hmang	đứa trẻ thấy ngọn núi to
ako kon tuk	con chó mang đứa trẻ
ybhok kon ngui-ne	Y Bhôk đã làm đứa trẻ
hina pang krah tec	con cá bán cái nồi cũ
rong bnam cha	cái nhà ăn ngọn núi
hina rong ngui-ne-ma	con cá đã không làm cái nhà
